Date,Trap #,Dipteran_large,Terrestrial_large,Caddisfly_large,Mayfly_large,Stonefly_large,Other_large,Dipteran_small,Terrestrial_small,Other_small
6/18/2018,10,2,,,,,3,64,,18
6/25/2018,1,6,8,,,,4,30,,25
6/25/2018,2,1,,1,,,1,27,,62
6/25/2018,3,6,6,,,1,1,30,,48
6/25/2018,4,2,7,,,1,1,11,,13
6/25/2018,5,5,1,,,,3,27,,14
6/25/2018,6,1,1,1,,,,5,,4
6/25/2018,7,4,1,1,,,1,12,,13
6/25/2018,8,6,1,,,,4,52,,27
6/25/2018,9,5,,1,,,2,26,,17
6/25/2018,10,10,5,,,,,19,,6
7/2/2018,1,11,,1,,,2,18,,10
7/2/2018,2,25,,,,,2,10,,12
7/2/2018,3,5,1,,,,3,14,,12
7/2/2018,4,2,,1,,,2,5,,6
7/2/2018,5,4,2,,,,,15,,25
7/2/2018,6,10,2,,,,,18,,33
7/2/2018,7,6,,4,,,2,25,,19
7/2/2018,8,4,,,,,,22,,6
7/2/2018,9,4,,,,,1,20,,53
7/2/2018,10,2,4,,,1,2,11,,2
7/9/2018,1,2,2,,,,2,17,,21
7/9/2018,2,8,2,,,1,3,30,,33
7/9/2018,3,3,1,,,,3,30,,33
7/9/2018,4,3,,,,,,11,,28
7/9/2018,5,1,7,1,,,,21,,24
7/9/2018,6,1,2,,,4,,31,,95
7/9/2018,7,2,,2,,,,42,,45
7/9/2018,8,,3,1,,,3,20,,29
7/9/2018,9,,2,,,3,4,37,,57
7/9/2018,10,3,6,1,,,3,16,,
7/16/2018,1,,3,,,,3,22,,14
7/16/2018,2,,2,2,,1,,46,,20
7/16/2018,3,3,3,,,,1,29,,17
7/16/2018,4,,,,,3,1,23,,6
7/16/2018,5,2,1,1,,,1,16,,34
7/16/2018,6,1,,2,,,,11,,7
7/16/2018,7,2,9,2,,,,21,,16
7/16/2018,8,3,5,,,2,,36,,40
7/16/2018,9,2,11,,,2,3,46,,39
7/16/2018,10,1,5,,,1,1,16,,14
7/23/2018,1,5,,,,,,12,,15
7/23/2018,2,5,3,,,2,,9,,12
7/23/2018,3,5,3,2,,,1,14,,3
7/23/2018,4,3,1,1,,1,,20,,
7/23/2018,5,8,1,1,,2,,14,,12
7/23/2018,6,2,1,2,,4,1,13,,5
7/23/2018,7,3,8,,,,,17,,7
7/23/2018,8,3,1,,,5,,17,,10
7/23/2018,9,2,5,,,14,2,6,,14
7/23/2018,10,1,4,1,,6,,19,3,5
7/30/2018,1,2,,,,6,,9,,
7/30/2018,2,,,,,4,1,13,1,
7/30/2018,3,,1,1,,2,,9,,3
7/30/2018,4,,2,,,,,6,,
7/30/2018,5,1,,1,,11,,5,,
7/30/2018,6,3,,,,12,1,10,,3
7/30/2018,7,1,,,,,,3,,1
7/30/2018,8,1,,,,1,,2,,1
7/30/2018,9,1,,,,,2,5,,1
7/30/2018,10,,,,,2,,3,,4
8/6/2018,1,4,,,,1,,3,,2
8/6/2018,2,8,,,,1,1,5,,2
8/6/2018,3,8,,,,5,,7,,
8/6/2018,4,5,,1,,4,,3,,
8/6/2018,5,9,,,,1,,8,,2
8/6/2018,6,,,,,1,,1,,
8/6/2018,7,3,,,,8,,9,,2
8/6/2018,8,1,2,,,8,1,8,,
8/6/2018,9,1,,,,4,,2,,1
8/6/2018,10,3,1,,,9,2,6,,
8/13/2018,1,2,,,,1,,2,,
8/13/2018,2,4,,,,,1,11,,1
8/13/2018,3,1,,,,2,,8,,
8/13/2018,4,7,,,,2,2,3,,
8/13/2018,5,3,,,,1,,7,,
8/13/2018,6,1,1,,,16,2,5,,2
8/13/2018,7,3,,,,4,2,5,,
8/13/2018,8,,,,,5,,2,,
8/13/2018,9,4,,,,6,1,5,,
8/13/2018,10,2,,,,5,1,10,,
8/20/2018,1,1,,,,2,1,7,,
8/20/2018,2,4,,,,13,1,15,,2
8/20/2018,3,,1,1,,3,3,10,,
8/20/2018,4,2,,,,4,1,15,,
8/20/2018,5,1,3,,,1,,5,,
8/20/2018,6,6,1,,,1,,13,,
8/20/2018,7,2,,,,3,1,7,,1
8/20/2018,8,,,,,,,9,,2
8/20/2018,9,1,,,,1,,,,
8/20/2018,10,3,,,,,1,5,,
8/27/2018,1,3,1,2,,1,,2,,1
8/27/2018,2,2,,,,1,,2,,1
8/27/2018,3,2,1,1,,1,1,11,,1
8/27/2018,4,1,,,,,,9,,
8/27/2018,5,6,,1,,1,,4,,
8/27/2018,6,5,,,,2,,5,,2
8/27/2018,7,2,,,,2,1,10,,
8/27/2018,8,7,1,,,2,,13,,1
8/27/2018,9,2,1,1,,,,6,,
8/27/2018,10,4,,,,6,,1,,
9/4/2018,1,4,,,,1,,6,,
9/4/2018,2,4,,,,3,,7,,
9/4/2018,3,7,,,,,,7,,
9/4/2018,4,,,,,1,,6,,
9/4/2018,5,3,1,1,,,,6,,
9/4/2018,6,4,,,,1,,3,,
9/4/2018,7,2,,1,,5,,9,,
9/4/2018,8,,,,,,,11,,
9/4/2018,9,2,,,,1,,2,,
9/4/2018,10,1,,,,,,4,,4
9/10/2018,1,1,,1,,,,2,,1
9/10/2018,2,5,,,,,,9,,2
9/10/2018,3,4,,1,,1,,,,3
9/10/2018,4,1,,,,,,4,,
9/10/2018,5,4,,1,,3,,10,,1
9/10/2018,6,3,,,,,,12,,2
9/10/2018,7,1,,1,,1,,5,,2
9/10/2018,8,2,,,,9,1,5,,
9/10/2018,9,1,,,,4,,3,,3
9/10/2018,10,2,,,,3,,1,,
9/17/2018,1,5,2,1,,2,,10,,
9/17/2018,2,2,,,,2,,6,,
9/17/2018,3,,,,,,,1,,
9/17/2018,4,,,,,,,5,,1
9/17/2018,5,1,,2,,,,,,1
9/17/2018,6,2,,,,,,4,,3
9/17/2018,7,1,,,,,,3,,3
9/17/2018,8,2,,,,,,1,,1
9/17/2018,9,1,,,,,,2,,2
9/17/2018,10,2,,,,3,,3,,1
9/24/2018,1,2,,,,2,,8,,1
9/24/2018,2,1,,,,,,7,,
9/24/2018,3,2,,,,2,,7,,1
9/24/2018,4,4,,,,3,1,2,,
9/24/2018,5,3,,,,,,2,,
9/24/2018,6,3,,,,,,1,,1
9/24/2018,7,1,,,,,,2,,
9/24/2018,8,,,,,,,2,,
9/24/2018,9,,,,,,,5,,
9/24/2018,10,,,,,,,6,,
10/1/2018,1,4,,,,,,5,2,
10/1/2018,2,4,2,,,,1,5,2,
10/1/2018,3,,,,,,,3,1,
10/1/2018,4,2,,,,,,3,1,
10/1/2018,5,8,3,,,,,5,3,
10/1/2018,6,4,2,,,,,6,,2
10/1/2018,7,3,1,,,,,5,1,
10/1/2018,8,,,,,,,5,2,1
10/1/2018,9,2,,,,,,,,
10/1/2018,10,2,,,,,,2,2,
10/8/2018,1,,,,,,,12,,
10/8/2018,2,1,,,,,,1,,
10/8/2018,3,2,,,,,1,4,,
10/8/2018,4,3,1,,,,,7,,
10/8/2018,5,,,,,,,9,,2
10/8/2018,6,1,,,,,,8,,1
10/8/2018,7,,,,,,,7,,
10/8/2018,8,4,,,,2,1,9,,
10/8/2018,9,,,,,,,13,,2
10/8/2018,10,2,,,,,,,,
10/15/2018,1,4,,,,,,12,,
10/15/2018,2,3,1,,,,,5,,
10/15/2018,3,3,,,,,,4,,
10/15/2018,4,4,,,,,,8,,1
10/15/2018,5,5,,,,,,7,,
10/15/2018,6,3,,,,1,,9,,
10/15/2018,7,3,,,,,,17,,
10/15/2018,8,1,,,,,,9,,2
10/15/2018,9,,,,,,,4,,
10/15/2018,10,2,,,,,,3,,
10/22/2018,1,2,,,,,,7,,
10/22/2018,2,3,,,,,,3,,
10/22/2018,3,,,,,,,1,,
10/22/2018,4,1,,,,,,2,,
10/22/2018,5,2,,,,,,1,,
10/22/2018,6,1,,,,,,4,,
10/22/2018,7,3,,,,,,4,,
10/22/2018,8,,,,,,,1,,
10/22/2018,9,1,,,,,,3,,
10/22/2018,10,2,,,,,,2,,
10/29/2018,1,,,,,,,1,,
10/29/2018,2,,,,,,,1,,
10/29/2018,3,,,,,,,2,,
10/29/2018,4,,,,,,,1,,
10/29/2018,5,,,,,,,1,,
10/29/2018,6,,,,,,,1,,
10/29/2018,7,,,,,,,0,,
10/29/2018,8,,,,,,,1,,
10/29/2018,9,,,,,,,1,,
10/29/2018,10,1,,,,,,1,,
11/5/2018,1,2,,,,,,1,,
11/5/2018,2,2,,,,,,2,,
11/5/2018,3,,,,,,,1,,
11/5/2018,4,2,,,,,,4,,
11/5/2018,5,3,,,,,,2,,
11/5/2018,6,,,,,,,1,,1
11/5/2018,7,2,,,,,,,,
11/5/2018,8,2,,,,,,2,,
11/5/2018,9,,,,,,,1,,
11/5/2018,10,,,,,,,2,,
11/12/2018,1,2,,,,,,3,,
11/12/2018,2,3,,,,,,4,,
11/12/2018,3,,,,,,,2,,1
11/12/2018,4,1,,,,,,,,
11/12/2018,5,10,,,,,,,,
11/12/2018,6,0,,,,,,,,
11/12/2018,7,1,,,,,,2,,
11/12/2018,8,3,,,,,,1,,
11/12/2018,9,,,,,,,1,,
11/12/2018,10,2,,,,,,3,,2
