Watershed,Date,Trap,Dipteran_Large,Terrestrial_Large,Caddisfly_Large,Mayfly_Large,Stonefly_Large,Other_Large,Dipteran_Small,Terrestrial_Small,Other_Small
1,6/11/2018,2,1,1,,,1,,,,
1,6/11/2018,3,,,,,,,21,9,
1,6/11/2018,5,2,1,,,,,28,3,
1,6/11/2018,7,4,1,1,,,,28,8,
1,6/11/2018,6,3,4,,,,,43,11,
1,6/11/2018,4,2,3,,,,,,,
1,6/11/2018,8,6,3,,,,,,,
1,6/11/2018,9,2,3,,,,,,,
1,6/11/2018,10,2,,,,,,,,
1,6/18/2018,10,1,3,,,1,,19,9,
1,6/18/2018,4,2,5,,,1,,24,17,
1,6/18/2018,2,1,14,,,1,,41,15,
1,6/18/2018,1,,4,,,1,,,,
1,6/18/2018,3,2,10,1,,1,,,,
1,6/18/2018,7,,9,,,1,,,,
1,6/18/2018,9,1,5,,,2,,8,8,
1,6/18/2018,5,2,9,1,,2,,,,
1,6/18/2018,6,3,6,,,2,,,,
1,6/18/2018,8,1,8,,,,,,,
1,6/25/2018,5,2,8,,,1,,49,10,
1,6/25/2018,3,3,7,1,,1,,,,
1,6/25/2018,8,,2,,,2,,47,8,
1,6/25/2018,6,2,7,3,,3,,,,
1,6/25/2018,2,1,9,2,,4,,,,
1,6/25/2018,1,,4,3,,,,8,15,
1,6/25/2018,4,,2,1,,,,12,12,
1,6/25/2018,7,2,7,,,,,43,10,
1,6/25/2018,9,,4,,,,,,,
1,6/25/2018,10,,3,,,,,,,
1,7/16/2018,9,3,25,,,1,,,,
1,7/16/2018,4,4,10,,,2,,,,
1,7/16/2018,5,1,19,2,,,,6,20,
1,7/16/2018,2,,7,,,,,7,4,
1,7/16/2018,10,1,2,,,,,8,1,
1,7/16/2018,1,3,8,1,,,,18,,
1,7/16/2018,3,2,5,,,,,,,
1,7/16/2018,6,3,19,3,,,,,,
1,7/16/2018,7,1,6,,,,,,,
1,7/16/2018,8,,3,,,,,,,
1,7/23/2018,4,,5,,,1,,,,
1,7/23/2018,8,1,17,,,1,,,,
1,7/23/2018,3,1,12,,,,,4,6,
1,7/23/2018,2,1,10,,,,,8,2,
1,7/23/2018,9,2,13,,,,,12,3,
1,7/23/2018,10,,5,,,,,14,10,
1,7/23/2018,1,1,25,,,,,,,
1,7/23/2018,5,1,2,,,,,,,
1,7/23/2018,6,1,15,,,,,,,
1,7/23/2018,7,1,14,,,,,,,
1,8/6/2018,9,,11,,,4,,,,
1,8/6/2018,3,,,,,,,2,,
1,8/6/2018,7,,4,,,,,3,1,
1,8/6/2018,8,,,,,,,8,,
1,8/6/2018,4,1,5,,,,,10,1,
1,8/6/2018,1,,2,,,,,,,
1,8/6/2018,2,2,1,,,,,,,
1,8/6/2018,5,,2,,,,,,,
1,8/6/2018,6,2,3,,,,,,,
1,8/6/2018,10,,5,,,,,,,
1,8/13/2018,1,1,3,,,1,,,,
1,8/13/2018,5,1,7,,,,,3,,
1,8/13/2018,8,,6,,,,,3,,
1,8/13/2018,6,1,5,,,,,7,,
1,8/13/2018,2,1,11,,,,,8,,
1,8/13/2018,3,,1,,,,,,,
1,8/13/2018,4,1,4,,,,,,,
1,8/13/2018,7,2,3,,,,,,,
1,8/13/2018,9,3,1,,,,,,,
1,8/13/2018,10,1,2,,,,,,,
1,8/20/2018,7,,5,,,1,,,,
1,8/20/2018,9,,2,,,,,2,,
1,8/20/2018,3,,2,,,,,6,,
1,8/20/2018,2,,5,,,,,10,2,
1,8/20/2018,8,,2,,,,,10,2,
1,8/20/2018,1,,,,,,,,,
1,8/20/2018,4,,3,,,,,,,
1,8/20/2018,5,,2,,,,,,,
1,8/20/2018,6,1,4,,,,,,,
1,8/20/2018,10,2,1,,,,,,,
1,9/4/2018,1,2,2,,,1,,,,
1,9/4/2018,9,,,,,,,6,,
1,9/4/2018,3,1,3,,,,,8,2,
1,9/4/2018,6,1,4,,,,,9,,
1,9/4/2018,7,,9,,,,,11,,
1,9/4/2018,2,1,4,,,,,,,
1,9/4/2018,4,1,,,,,,,,
1,9/4/2018,5,,7,,,,,,,
1,9/4/2018,8,1,3,,,,,,,
1,9/10/2018,5,2,,,,1,,3,,
1,9/10/2018,8,1,1,,,1,,,,
1,9/10/2018,10,,1,,,,,1,,
1,9/10/2018,2,1,1,,,,,2,,
1,9/10/2018,7,,,,,,,4,1,
1,9/10/2018,1,,2,,,,,,,
1,9/10/2018,3,1,1,,,,,,,
1,9/10/2018,4,,,,,,,,,
1,9/10/2018,6,,1,,,,,,,
1,9/10/2018,9,1,2,,,,,,,
1,9/17/2018,1,,,,,,,2,,
1,9/17/2018,5,,,,,,,2,,
1,9/17/2018,7,,,,,,,5,5,
1,9/17/2018,9,,,,,,,5,2,
1,9/17/2018,2,2,,,,,,,,
1,9/17/2018,3,2,4,,,,,,,
1,9/17/2018,4,2,,,,,,,,
1,9/17/2018,6,,1,,,,,,,
1,9/17/2018,8,,,,,,,,,
1,9/17/2018,10,1,2,,,,,,,
1,9/24/2018,3,5,3,,,,,5,,
1,9/24/2018,5,1,,,,,,7,,
1,9/24/2018,7,1,1,,,,,7,,
1,9/24/2018,9,,,,,,,,,
1,9/24/2018,1,1,,1,,,,,,
1,9/24/2018,2,1,1,,,,,,,
1,9/24/2018,4,,,,,,,,,
1,9/24/2018,6,2,,,,,,,,
1,9/24/2018,8,4,1,,,,,,,
1,9/24/2018,10,,,,,,,,,
1,10/1/2018,7,3,1,,,,,3,,
1,10/1/2018,5,4,4,,,,,5,,
1,10/1/2018,3,5,,,,,,6,,
1,10/1/2018,9,6,,,,,,8,2,
1,10/1/2018,1,2,7,,,,,,,
1,10/1/2018,2,3,2,,,,,,,
1,10/1/2018,4,4,1,,,,,,,
1,10/1/2018,6,1,2,1,,,,,,
1,10/1/2018,8,6,,,,,,,,
1,10/1/2018,10,6,,,,,,,,
1,10/15/2018,6,2,,,,,,4,1,
1,10/15/2018,9,5,3,,,,,6,,
1,10/15/2018,3,5,3,,,,,7,,
1,10/15/2018,8,3,1,,,,,8,,
1,10/15/2018,1,6,1,,,,,,,
1,10/15/2018,2,2,,,,,,,,
1,10/15/2018,4,5,2,,,,,,,
1,10/15/2018,5,15,2,,,,,,,
1,10/15/2018,7,,2,,,,,,,
1,10/15/2018,10,1,1,,,,,,,
1,10/8/2018,9,5,1,,,,,2,1,
1,10/8/2018,4,1,4,,,,,3,2,
1,10/8/2018,5,1,,,,,,6,,
1,10/8/2018,8,15,1,,,,,8,,
1,10/8/2018,1,1,,,,,,,,
1,10/8/2018,2,,1,,,,,,,
1,10/8/2018,3,3,,,,,,,,
1,10/8/2018,6,4,4,,,,,,,
1,10/8/2018,7,7,3,,,,,,,
1,10/8/2018,10,6,,,,,,,,
1,10/22/2018,6,3,4,,,,,5,3,
1,10/22/2018,8,11,,,,,,5,,
1,10/22/2018,3,3,,,,,,6,1,
1,10/22/2018,4,6,2,,,,,6,,
1,10/22/2018,1,1,1,,,,,,,
1,10/22/2018,2,14,1,,,,,,,
1,10/22/2018,5,3,,,,,,,,
1,10/22/2018,7,7,6,,,,,,,
1,10/22/2018,9,8,,,,,,,,
1,10/22/2018,10,11,2,,,,,,,
2,5/14/2018,9,1,,,,,1,16,,2
2,5/14/2018,10,1,,,,,2,15,,3
2,5/14/2018,8,,,,,,2,36,,6
2,5/14/2018,4,1,,,,,2,48,,5
2,5/14/2018,1,,,,,,3,64,,10
2,5/14/2018,2,,,,,,4,23,,
2,5/14/2018,3,,,,,,,39,,
2,5/14/2018,6,,,,,,,42,,10
2,5/14/2018,7,,,,,,,43,,
2,5/14/2018,5,,,,,,,79,,11
2,5/21/2018,8,,,,,,1,32,,1
2,5/21/2018,6,,1,,,,1,54,1,5
2,5/21/2018,3,,,,,,1,69,,6
2,5/21/2018,4,2,,,,,2,29,,4
2,5/21/2018,9,,1,,,,2,74,,1
2,5/21/2018,1,1,,,,,2,79,,1
2,5/21/2018,2,,,,,,2,124,,8
2,5/21/2018,7,2,,,,,3,86,,4
2,5/21/2018,5,,,,,2,,42,,3
2,5/21/2018,10,13,,,,,,45,,7
2,5/29/2018,6,1,,,,1,1,49,,
2,5/29/2018,4,1,,,,2,1,83,,3
2,5/29/2018,5,,4,,,1,2,36,,6
2,5/29/2018,10,,,,,1,2,,4,4
2,5/29/2018,7,,2,,,,3,83,1,4
2,5/29/2018,3,,,,,1,4,107,1,
2,5/29/2018,2,,1,1,,2,4,143,,
2,5/29/2018,9,,,,,,7,101,,
2,5/29/2018,8,,,,,,7,112,,6
2,5/29/2018,1,,3,,,1,,112,,1
2,6/4/2018,9,,,,,2,1,30,,4
2,6/4/2018,7,,,,,3,1,42,1,2
2,6/4/2018,2,1,1,,,5,1,67,,12
2,6/4/2018,10,,,,,1,2,25,,2
2,6/4/2018,1,2,1,,,3,3,26,,1
2,6/4/2018,8,,1,,,3,3,36,,3
2,6/4/2018,6,,,,,1,4,38,,4
2,6/4/2018,4,1,3,,,1,4,86,,2
2,6/4/2018,3,1,1,1,,2,4,94,,4
2,6/4/2018,5,,,,,,,30,1,2
2,6/11/2018,9,1,,,,,1,23,,4
2,6/11/2018,4,1,1,,,,1,33,1,9
2,6/11/2018,3,,1,,,,1,35,,12
2,6/11/2018,1,2,1,,,,1,41,,9
2,6/11/2018,6,2,1,,,1,2,35,,
2,6/11/2018,2,3,2,,,,2,43,1,14
2,6/11/2018,5,2,,,,,3,15,,9
2,6/11/2018,8,4,,1,,,3,35,,2
2,6/11/2018,7,,,,,,3,43,,5
2,6/11/2018,10,2,,,,1,,48,,9
2,6/18/2018,5,3,1,,,,3,23,1,20
2,6/18/2018,3,,2,3,,,3,48,,15
2,6/18/2018,4,3,,,,,3,79,,20
2,6/18/2018,7,3,,1,,2,4,41,2,15
2,6/18/2018,9,2,,,,,5,28,,9
2,6/18/2018,2,4,,,,,5,36,,11
2,6/18/2018,8,3,,,,,5,50,5,25
2,6/18/2018,1,,,,,,6,25,,10
2,6/18/2018,10,2,,1,,,11,34,,24
2,6/18/2018,6,1,,1,,,,30,,8
2,6/25/2018,10,2,,,,,1,51,,6
2,6/25/2018,9,3,,,,,1,59,,6
2,6/25/2018,7,1,,,,1,2,26,,13
2,6/25/2018,3,2,1,,,1,2,37,,5
2,6/25/2018,5,2,2,,,,2,50,,6
2,6/25/2018,4,,,,,1,3,57,1,7
2,6/25/2018,8,1,,,,,3,73,,27
2,6/25/2018,6,1,,,,1,,37,,2
2,6/25/2018,1,1,,,,,,36,,18
2,6/25/2018,2,3,1,,,,,50,,14
2,8/6/2018,5,1,,,,2,1,7,3,5
2,8/6/2018,6,3,1,,,5,1,11,,3
2,8/6/2018,4,3,,,,2,3,13,,10
2,8/6/2018,3,,1,,,1,,5,2,4
2,8/6/2018,1,1,,,,,,2,,
2,8/6/2018,2,1,2,,,,,5,4,9
2,8/13/2018,4,,,,,4,1,19,1,
2,8/13/2018,9,,,,,,1,14,,7
2,8/13/2018,3,1,2,,,2,2,5,2,10
2,8/13/2018,1,2,1,,,2,2,21,,7
2,8/13/2018,2,4,,,,,2,32,,19
2,8/13/2018,6,,,,,4,3,21,,8
2,8/13/2018,7,,,,,,3,12,,4
2,8/13/2018,10,4,3,,,,4,26,,5
2,8/13/2018,8,1,,,,3,5,28,,4
2,8/13/2018,5,4,,,,4,9,20,,5
2,8/20/2018,6,1,,,,1,1,18,1,6
2,8/20/2018,4,1,,,,4,1,16,,8
2,8/20/2018,2,,2,,,4,1,18,4,7
2,8/20/2018,1,3,1,,,,1,16,,4
2,8/20/2018,8,2,,,,2,2,14,1,4
2,8/20/2018,3,1,1,1,,4,2,18,2,3
2,8/20/2018,10,2,1,,,,2,18,3,4
2,8/20/2018,9,1,,,,2,,10,1,9
2,8/20/2018,5,2,1,,,2,,23,2,2
2,8/20/2018,7,,,,,,,12,3,
2,9/4/2018,4,2,2,,,1,1,10,2,4
2,9/4/2018,8,2,,,,,1,3,,
2,9/4/2018,5,,,,,,1,4,3,
2,9/4/2018,6,2,1,,,,1,8,6,4
2,9/4/2018,10,1,2,,,,1,9,3,
2,9/4/2018,1,2,1,,,,3,2,3,5
2,9/4/2018,2,2,3,,,,3,6,1,3
2,9/4/2018,7,,,,,,,2,5,
2,9/4/2018,9,2,,,,,,6,4,6
2,9/4/2018,3,5,3,,,,,16,1,10
2,9/10/2018,8,1,,,,1,2,6,2,
2,9/10/2018,4,1,,,,,,2,,
2,9/10/2018,2,,,,,,,3,1,
2,9/10/2018,1,,1,,,,,4,,9
2,9/10/2018,10,,1,,,,,4,2,7
2,9/10/2018,9,1,,,,,,6,1,6
2,9/10/2018,6,1,1,,,,,7,,3
2,9/10/2018,3,,,,,,,9,,5
2,9/10/2018,7,1,,,,,,14,1,
2,9/17/2018,6,4,,,,,1,10,1,4
2,9/17/2018,9,1,,,,,1,18,3,1
2,9/17/2018,1,,2,,,,1,,1,3
2,9/17/2018,7,1,,,,,,2,1,4
2,9/17/2018,3,1,,,,,,4,1,
2,9/17/2018,5,3,,,,,,4,6,
2,9/17/2018,8,2,,,,,,6,2,3
2,9/17/2018,10,5,,,,,,7,5,1
2,9/17/2018,4,2,,,,,,,2,
2,9/24/2018,8,1,,,,,1,3,1,3
2,9/24/2018,10,5,,,,,1,8,4,
2,9/24/2018,5,,,,,,1,12,1,4
2,9/24/2018,1,,,,,,,3,,
2,9/24/2018,2,5,1,,,,,4,5,6
2,9/24/2018,6,,,,,,,5,2,2
2,9/24/2018,7,3,,,,,,5,2,3
2,9/24/2018,9,1,,,,,,14,2,3
2,9/24/2018,3,4,,,,,,15,7,13
2,9/24/2018,4,1,1,,,,,15,1,4
2,10/1/2018,9,6,1,,,,1,9,,4
2,10/1/2018,5,,,,,,,3,4,5
2,10/1/2018,1,6,2,,,,,4,,1
2,10/1/2018,6,1,1,,,,,4,2,4
2,10/1/2018,8,,,,,,,5,2,7
2,10/1/2018,10,4,,,,,,7,2,9
2,10/1/2018,4,3,1,,,,,9,2,4
2,10/1/2018,7,3,,,,,,9,2,1
2,10/1/2018,3,4,,,,,,10,2,5
2,10/1/2018,2,4,,,,,,11,3,5
2,10/8/2018,1,2,,,,,1,2,,3
2,10/8/2018,8,5,,,,,1,10,,3
2,10/8/2018,6,3,1,,,,1,19,,11
2,10/8/2018,5,4,,,,,2,12,,6
2,10/8/2018,4,2,,,,,,3,1,5
2,10/8/2018,2,1,,,,,,4,3,4
2,10/8/2018,3,3,,,,,,4,1,2
2,10/8/2018,10,3,,,,,,8,,11
2,10/8/2018,9,,,,,,,11,,5
2,10/8/2018,7,3,,,,,,17,1,6
2,10/15/2018,1,7,1,,,,1,17,,9
2,10/15/2018,2,2,,,,,,10,1,9
2,10/15/2018,10,2,,,,,,10,,3
2,10/15/2018,3,1,1,,,,,11,6,8
2,10/15/2018,8,6,,,,,,11,,12
2,10/15/2018,9,5,,,,,,11,2,18
2,10/15/2018,5,5,,,,,,13,,5
2,10/15/2018,6,10,,,,,,15,,4
2,10/15/2018,4,3,,,,,,16,5,9
2,10/15/2018,7,6,,,,,,16,1,5
2,10/22/2018,5,4,,,,1,1,7,,1
2,10/22/2018,8,3,,,,,1,2,,5
2,10/22/2018,2,2,,,,,1,4,,2
2,10/22/2018,4,1,,,,1,,18,,3
2,10/22/2018,9,2,,,,,,4,,2
2,10/22/2018,1,2,,,,,,5,,1
2,10/22/2018,6,,,,,,,6,,1
2,10/22/2018,10,1,,,,,,8,,
2,10/22/2018,7,2,1,,,,,9,1,
2,10/22/2018,3,1,,,,,,19,,4
2,10/29/2018,1,1,,,,,,1,1,1
2,10/29/2018,2,2,,,,,,1,1,
2,10/29/2018,6,,,,,,,1,,
2,10/29/2018,3,1,,,,,,2,,
2,10/29/2018,5,2,,,,,,2,,
2,10/29/2018,4,8,,,,,,4,,
2,11/5/2018,5,2,,,,1,,7,,
2,11/5/2018,3,,,,,,,6,,
2,11/5/2018,10,2,,,,,,6,,
2,11/5/2018,9,4,,,,,,7,,1
2,11/5/2018,4,,,,,,,8,2,
2,11/5/2018,2,2,,,,,,9,,
2,11/5/2018,7,4,,,,,,10,,
2,11/5/2018,1,2,,,,,,12,1,2
2,11/5/2018,8,4,,,,,,15,,
2,11/5/2018,6,4,,,,,,19,,
2,11/12/2018,9,2,,,,,,2,,1
2,11/12/2018,8,1,1,,,,,4,,1
2,11/12/2018,4,3,,,,,,5,,1
2,11/12/2018,10,2,,,,,,5,,
2,11/12/2018,3,9,,,,,,8,,
2,11/12/2018,7,4,,,,,,8,,1
2,11/12/2018,6,3,1,,,,,9,,1
2,11/12/2018,1,19,,,,,,10,2,
2,11/12/2018,5,2,1,,,,,11,,1
2,11/12/2018,2,23,,,,,,27,,2
3,5/14/2018,1,3,1,,,,1,90,,5
3,5/14/2018,6,,5,,,,2,20,,1
3,5/14/2018,4,1,,,,,2,24,,5
3,5/14/2018,10,,,,,,2,135,,6
3,5/14/2018,3,,1,,,,3,82,,1
3,5/14/2018,9,,2,,,,1,50,,6
3,5/14/2018,7,,,,,,,6,,2
3,5/14/2018,5,,,,,,,9,,1
3,5/14/2018,2,,1,,,,,53,,2
3,5/14/2018,8,5,7,,,,,127,,10
3,5/21/2018,4,4,,,,,1,33,,2
3,5/21/2018,2,5,,,,,1,39,,3
3,5/21/2018,9,,,,,,1,39,,9
3,5/21/2018,5,2,,,,,3,46,,6
3,5/21/2018,10,1,,,,,3,58,,11
3,5/21/2018,1,2,,,,,3,96,,
3,5/21/2018,6,7,,,,,5,56,,5
3,5/21/2018,7,,,,,,5,57,4,11
3,5/21/2018,3,2,,,,1,,16,,2
3,5/21/2018,8,,,,,2,,54,5,9
3,5/29/2018,7,2,,2,,4,2,182,,6
3,5/29/2018,2,,2,,,3,3,106,,5
3,5/29/2018,10,2,,,,1,4,112,,22
3,5/29/2018,9,,1,,,,5,49,,7
3,5/29/2018,3,2,,,,2,7,75,,9
3,5/29/2018,8,1,3,,,1,9,97,,
3,5/29/2018,1,,,,,,9,100,2,9
3,5/29/2018,5,,2,,,1,10,49,3,
3,5/29/2018,6,1,1,,,,10,80,3,5
3,5/29/2018,4,,,,,,10,209,,6
3,7/2/2018,10,4,,2,,5,1,52,,20
3,7/2/2018,3,4,1,1,,2,2,49,,6
3,7/2/2018,8,,,1,,,2,35,,9
3,7/2/2018,4,1,,3,1,,2,45,,12
3,7/2/2018,9,2,,,,,3,25,,12
3,7/2/2018,1,5,,8,,,3,37,,7
3,7/2/2018,7,4,3,,,,3,47,,22
3,7/2/2018,5,2,,,,,5,34,,14
3,7/2/2018,2,,,1,,1,,35,1,3
3,7/2/2018,6,,,,,,,60,,21
3,7/9/2018,2,4,,,,3,3,33,,17
3,7/9/2018,1,1,,2,,,3,24,1,15
3,7/9/2018,7,,,4,,,3,36,2,10
3,7/9/2018,6,3,3,1,,1,4,31,,25
3,7/9/2018,3,,,,,1,5,46,,13
3,7/9/2018,8,,1,6,,2,5,36,,36
3,7/9/2018,9,3,,6,,3,5,34,,4
3,7/9/2018,5,1,1,,,,7,33,,20
3,7/9/2018,4,2,2,,,,7,70,,
3,7/9/2018,10,5,2,7,,,9,33,1,16
3,7/16/2018,3,3,1,,,1,1,30,,20
3,7/16/2018,6,5,4,,,,2,26,,34
3,7/16/2018,1,4,,1,,,2,28,1,8
3,7/16/2018,5,1,,3,,1,3,22,1,16
3,7/16/2018,4,2,2,5,,1,3,39,,15
3,7/16/2018,9,5,,,,,3,16,,11
3,7/16/2018,2,2,2,,,,3,41,,22
3,7/16/2018,10,9,,2,,2,4,25,,19
3,7/16/2018,8,,,1,,,4,30,,25
3,7/16/2018,7,1,,,,1,7,42,,21
3,7/23/2018,5,2,,,,,1,7,,16
3,7/23/2018,3,4,,,,,1,,,5
3,7/23/2018,7,,,,,,2,7,,24
3,7/23/2018,8,2,,,,,3,9,,11
3,7/23/2018,2,,,,,,,3,,9
3,7/23/2018,1,1,,,,,,4,,12
3,7/23/2018,4,,,,,,,5,,9
3,7/23/2018,6,4,,,,,,,,8
3,7/23/2018,9,,,,,,,,,
3,7/23/2018,10,,,,,,,,,
3,7/30/2018,6,,,1,,2,1,12,,1
3,7/30/2018,10,,,2,,5,1,8,,
3,7/30/2018,8,,1,,,,1,24,,4
3,7/30/2018,9,1,,1,,3,2,6,,4
3,7/30/2018,1,5,,,,,2,15,,2
3,7/30/2018,3,5,,1,,1,3,15,,
3,7/30/2018,2,4,,,,,4,23,,2
3,7/30/2018,5,5,,,,1,,12,,1
3,7/30/2018,4,3,2,,,2,,11,,1
3,7/30/2018,7,4,,,,,,18,,5
3,8/6/2018,4,,,,,5,1,8,,1
3,8/6/2018,1,,,1,,6,1,12,,2
3,8/6/2018,3,,,,,8,3,17,,
3,8/6/2018,2,,,1,,4,,9,,2
3,8/27/2018,5,,2,,,1,1,10,2,2
3,8/27/2018,10,3,,1,,1,1,16,,1
3,8/27/2018,3,3,,,,1,1,19,1,6
3,8/27/2018,6,,,,,1,1,21,2,
3,8/27/2018,4,2,,,,2,1,18,,2
3,8/27/2018,2,1,,,,1,,9,,5
3,8/27/2018,1,2,1,,,1,,11,,3
3,8/27/2018,8,2,,,,2,,13,,
3,8/27/2018,7,3,,,,3,,14,,2
3,8/27/2018,9,3,,,,,,17,,1
3,9/4/2018,8,4,,,,,1,18,,2
3,9/4/2018,5,4,1,,,,1,31,2,24
3,9/4/2018,6,3,,,,1,2,18,1,14
3,9/4/2018,9,1,,3,,2,2,13,,1
3,9/4/2018,4,1,,,,4,2,13,,10
3,9/4/2018,3,1,,1,,,2,16,1,4
3,9/4/2018,10,,1,,,,2,16,,11
3,9/4/2018,2,2,2,,,,2,17,2,11
3,9/4/2018,7,2,4,,,,,13,,9
3,9/4/2018,1,2,,,,,,16,,4
3,9/10/2018,8,3,,,,,1,9,,5
3,9/10/2018,6,,,,,,1,11,1,10
3,9/10/2018,3,4,,,,,1,13,1,20
3,9/10/2018,1,2,,,,,2,14,,9
3,9/10/2018,10,2,2,,,,2,16,3,6
3,9/10/2018,4,5,1,1,,,3,22,,23
3,9/10/2018,9,,,,,1,,39,2,13
3,9/10/2018,2,3,,,,2,,18,,18
3,9/10/2018,5,1,,,,,,16,,5
3,9/10/2018,7,1,2,,,,,24,,8
3,9/17/2018,1,,2,,,1,1,12,3,7
3,9/17/2018,6,5,,,,,1,8,4,2
3,9/17/2018,5,2,,,,,1,9,2,3
3,9/17/2018,3,2,,,,,1,10,1,1
3,9/17/2018,4,,,,,1,,9,,6
3,9/17/2018,10,2,,,,1,,9,3,10
3,9/17/2018,9,,,1,,,,6,1,6
3,9/17/2018,2,,,1,,,,18,,5
3,9/17/2018,8,2,1,,,,,18,2,6
3,9/17/2018,7,4,,,,,,23,7,6
3,9/24/2018,3,2,1,,,,1,26,,4
3,9/24/2018,2,3,,,,,1,36,1,5
3,9/24/2018,4,1,,,,,2,14,2,6
3,9/24/2018,9,3,1,,,1,,14,2,4
3,9/24/2018,1,6,1,,,1,,28,,2
3,9/24/2018,10,3,,,,1,,30,2,
3,9/24/2018,8,,1,1,,2,,45,,4
3,9/24/2018,6,3,,,,,,19,,6
3,9/24/2018,5,1,,,,,,37,2,3
3,9/24/2018,7,,3,,,,,50,2,7
3,10/1/2018,3,4,,,,,1,17,,
3,10/1/2018,6,3,,,,,1,33,,1
3,10/1/2018,1,3,,,,,1,40,,
3,10/1/2018,2,2,,,,,1,43,,
3,10/1/2018,4,4,,,,,,19,,2
3,10/1/2018,5,2,,,,,,31,,4
3,10/1/2018,7,2,1,,,,,31,,1
3,10/1/2018,8,2,,,,,,35,,1
3,10/1/2018,9,5,,,,,,40,,
3,10/1/2018,10,5,,,,,,44,,2
3,10/8/2018,2,1,,,,,1,14,,1
3,10/8/2018,6,4,,,,,1,19,,
3,10/8/2018,4,1,,,,,1,20,,4
3,10/8/2018,10,5,,,,,2,25,,
3,10/8/2018,1,1,,,,,,14,,
3,10/8/2018,5,2,,,,,,20,,2
3,10/8/2018,3,,1,,,,,24,,
3,10/8/2018,9,1,,,,,,24,,1
3,10/8/2018,7,1,,,,,,25,,
3,10/8/2018,8,2,,,,,,26,,1
3,10/15/2018,7,2,,,,,,8,,1
3,10/15/2018,2,,,,,,,14,,
3,10/15/2018,4,1,,,,,,17,,1
3,10/15/2018,8,2,,,,,,17,,2
3,10/15/2018,10,2,,,,,,18,,2
3,10/15/2018,9,1,,,,,,23,,4
3,10/15/2018,1,3,,,,,,24,,
3,10/15/2018,5,3,,,,,,31,,
3,10/15/2018,6,5,,,,,,37,,
3,10/15/2018,3,3,,,,,,41,,1
3,10/22/2018,4,1,1,,,,2,9,,2
3,10/22/2018,6,16,,,,1,,8,,2
3,10/22/2018,9,1,1,,,,,3,,
3,10/22/2018,2,2,,,,,,4,,
3,10/22/2018,7,5,1,,,,,4,,
3,10/22/2018,8,1,,,,,,4,,
3,10/22/2018,1,1,,,,,,5,,
3,10/22/2018,3,1,,,,,,7,,1
3,10/22/2018,10,2,1,,,,,8,,
3,10/22/2018,5,17,1,,,,,10,,1
3,10/29/2018,1,,,,,,,1,,
3,10/29/2018,2,,,,,,,1,,
3,10/29/2018,5,1,,,,,,1,,
3,10/29/2018,6,,,,,,,1,,1
3,10/29/2018,8,,,,,,,1,,
3,10/29/2018,3,1,,,,,,3,,
3,10/29/2018,4,2,,,,,,3,,
3,10/29/2018,10,,1,,,,,3,,
3,10/29/2018,7,,,,,,,,,
3,10/29/2018,9,1,,,,,,,,2
3,11/5/2018,7,,,,,,1,5,,
3,11/5/2018,10,,,,,,,1,,1
3,11/5/2018,2,,,,,,,2,,1
3,11/5/2018,3,,,,,,,3,,
3,11/5/2018,4,2,,,,,,3,1,
3,11/5/2018,8,3,,,,,,5,1,
