Date,Trap ,Dipteran_large,Dipteran_small,Watershed
9/17/2018,10,,8,HBK
9/24/2018,1,,5,HBK
9/24/2018,2,3,1,HBK
9/24/2018,3,,8,HBK
9/24/2018,4,2,3,HBK
9/24/2018,5,3,10,HBK
9/24/2018,6,2,5,HBK
9/24/2018,7,,17,HBK
9/24/2018,8,1,14,HBK
9/24/2018,9,,5,HBK
9/24/2018,10,,,HBK
10/1/2018,1,,8,HBK
10/1/2018,2,2,6,HBK
10/1/2018,3,1,4,HBK
10/1/2018,4,,4,HBK
10/1/2018,5,4,8,HBK
10/1/2018,6,2,3,HBK
10/1/2018,7,1,8,HBK
10/1/2018,8,2,8,HBK
10/1/2018,9,1,9,HBK
10/1/2018,10,3,12,HBK
10/8/2018,1,1,5,HBK
10/8/2018,2,2,3,HBK
10/8/2018,3,2,14,HBK
10/8/2018,4,4,14,HBK
10/8/2018,5,2,7,HBK
10/8/2018,6,1,8,HBK
10/8/2018,7,2,11,HBK
10/8/2018,8,1,9,HBK
10/8/2018,9,4,3,HBK
10/8/2018,10,5,10,HBK
10/15/2018,1,2,10,HBK
10/15/2018,2,,8,HBK
10/15/2018,3,2,8,HBK
10/15/2018,4,2,6,HBK
10/15/2018,5,3,15,HBK
10/15/2018,6,3,7,HBK
10/15/2018,7,2,13,HBK
10/15/2018,8,,10,HBK
10/15/2018,9,2,8,HBK
10/15/2018,10,2,11,HBK
10/22/2018,1,,4,HBK
10/22/2018,2,1,4,HBK
10/22/2018,3,2,2,HBK
10/22/2018,4,2,2,HBK
10/22/2018,5,2,3,HBK
10/22/2018,6,2,2,HBK
10/22/2018,7,,9,HBK
10/22/2018,8,4,,HBK
10/22/2018,9,,2,HBK
10/22/2018,10,1,1,HBK
10/29/2018,1,1,4,HBK
10/29/2018,2,,,HBK
10/29/2018,3,,2,HBK
10/29/2018,4,,3,HBK
10/29/2018,5,,1,HBK
10/29/2018,6,,2,HBK
10/29/2018,7,,2,HBK
10/29/2018,8,0,,HBK
10/29/2018,9,,1,HBK
10/29/2018,10,1,1,HBK
11/5/2018,1,,2,HBK
11/5/2018,2,,5,HBK
11/5/2018,3,,4,HBK
11/5/2018,4,,2,HBK
11/5/2018,5,,1,HBK
11/5/2018,6,0,3,HBK
11/5/2018,7,3,,HBK
11/5/2018,8,1,2,HBK
11/5/2018,9,1,2,HBK
11/5/2018,10,1,,HBK
11/12/2018,1,,2,HBK
11/12/2018,2,,3,HBK
11/12/2018,3,2,1,HBK
11/12/2018,4,,4,HBK
11/12/2018,5,4,1,HBK
11/12/2018,6,2,4,HBK
11/12/2018,7,,5,HBK
11/12/2018,8,,3,HBK
11/12/2018,9,,3,HBK
11/12/2018,10,,3,HBK
7/9/2018,2,8,30,WS9
7/9/2018,3,3,30,WS9
7/9/2018,4,3,11,WS9
7/9/2018,5,1,21,WS9
7/9/2018,6,1,31,WS9
7/9/2018,7,2,42,WS9
7/9/2018,8,,20,WS9
7/9/2018,9,,37,WS9
7/9/2018,10,3,16,WS9
7/16/2018,1,,22,WS9
7/16/2018,2,,46,WS9
7/16/2018,3,3,29,WS9
7/16/2018,4,,23,WS9
7/16/2018,5,2,16,WS9
7/16/2018,6,1,11,WS9
7/16/2018,7,2,21,WS9
7/16/2018,8,3,36,WS9
7/16/2018,9,2,46,WS9
7/16/2018,10,1,16,WS9
7/23/2018,1,5,12,WS9
7/23/2018,2,5,9,WS9
7/23/2018,3,5,14,WS9
7/23/2018,4,3,20,WS9
7/23/2018,5,8,14,WS9
7/23/2018,6,2,13,WS9
7/23/2018,7,3,17,WS9
7/23/2018,8,3,17,WS9
7/23/2018,9,2,6,WS9
7/23/2018,10,1,19,WS9
7/30/2018,1,2,9,WS9
7/30/2018,2,,13,WS9
7/30/2018,3,,9,WS9
7/30/2018,4,,6,WS9
7/30/2018,5,1,5,WS9
7/30/2018,6,3,10,WS9
7/30/2018,7,1,3,WS9
7/30/2018,8,1,2,WS9
7/30/2018,9,1,5,WS9
7/30/2018,10,,3,WS9
8/6/2018,1,4,3,WS9
8/6/2018,2,8,5,WS9
8/6/2018,3,8,7,WS9
8/6/2018,4,5,3,WS9
8/6/2018,5,9,8,WS9
8/6/2018,6,,1,WS9
8/6/2018,7,3,9,WS9
8/6/2018,8,1,8,WS9
8/6/2018,9,1,2,WS9
8/6/2018,10,3,6,WS9
8/13/2018,1,2,2,WS9
8/13/2018,2,4,11,WS9
8/13/2018,3,1,8,WS9
8/13/2018,4,7,3,WS9
8/13/2018,5,3,7,WS9
8/13/2018,6,1,5,WS9
8/13/2018,7,3,5,WS9
8/13/2018,8,,2,WS9
8/13/2018,9,4,5,WS9
8/13/2018,10,2,10,WS9
8/20/2018,1,1,7,WS9
8/20/2018,2,4,15,WS9
8/20/2018,3,,10,WS9
8/20/2018,4,2,15,WS9
8/20/2018,5,1,5,WS9
8/20/2018,6,6,13,WS9
8/20/2018,7,2,7,WS9
8/20/2018,8,,9,WS9
8/20/2018,9,1,,WS9
8/20/2018,10,3,5,WS9
8/27/2018,1,3,2,WS9
8/27/2018,2,2,2,WS9
8/27/2018,3,2,11,WS9
8/27/2018,4,1,9,WS9
8/27/2018,5,6,4,WS9
8/27/2018,6,5,5,WS9
8/27/2018,7,2,10,WS9
8/27/2018,8,7,13,WS9
8/27/2018,9,2,6,WS9
8/27/2018,10,4,1,WS9
9/4/2018,1,4,6,WS9
9/4/2018,2,4,7,WS9
9/4/2018,3,7,7,WS9
9/4/2018,4,,6,WS9
9/4/2018,5,3,6,WS9
9/4/2018,6,4,3,WS9
9/4/2018,7,2,9,WS9
9/4/2018,8,,11,WS9
9/4/2018,9,2,2,WS9
9/4/2018,10,1,4,WS9
9/10/2018,1,1,2,WS9
9/10/2018,2,5,9,WS9
9/10/2018,3,4,,WS9
9/10/2018,4,1,4,WS9
9/10/2018,5,4,10,WS9
9/10/2018,6,3,12,WS9
9/10/2018,7,1,5,WS9
9/10/2018,8,2,5,WS9
9/10/2018,9,1,3,WS9
9/10/2018,10,2,1,WS9
9/17/2018,1,5,10,WS9
9/17/2018,2,2,6,WS9
9/17/2018,3,,1,WS9
9/17/2018,4,,5,WS9
9/17/2018,5,1,,WS9
9/17/2018,6,2,4,WS9
9/17/2018,7,1,3,WS9
9/17/2018,8,2,1,WS9
9/17/2018,9,1,2,WS9
9/17/2018,10,2,3,WS9
9/24/2018,1,2,8,WS9
9/24/2018,2,1,7,WS9
9/24/2018,3,2,7,WS9
9/24/2018,4,4,2,WS9
9/24/2018,5,3,2,WS9
9/24/2018,6,3,1,WS9
9/24/2018,7,1,2,WS9
9/24/2018,8,,2,WS9
9/24/2018,9,,5,WS9
9/24/2018,10,,6,WS9
10/1/2018,1,4,5,WS9
10/1/2018,2,4,5,WS9
10/1/2018,3,,3,WS9
10/1/2018,4,2,3,WS9
10/1/2018,5,8,5,WS9
10/1/2018,6,4,6,WS9
10/1/2018,7,3,5,WS9
10/1/2018,8,,5,WS9
10/1/2018,9,2,,WS9
10/1/2018,10,2,2,WS9
10/8/2018,1,,12,WS9
10/8/2018,2,1,1,WS9
10/8/2018,3,2,4,WS9
10/8/2018,4,3,7,WS9
10/8/2018,5,,9,WS9
10/8/2018,6,1,8,WS9
10/8/2018,7,,7,WS9
10/8/2018,8,4,9,WS9
10/8/2018,9,,13,WS9
10/8/2018,10,2,,WS9
10/15/2018,1,4,12,WS9
10/15/2018,2,3,5,WS9
10/15/2018,3,3,4,WS9
10/15/2018,4,4,8,WS9
10/15/2018,5,5,7,WS9
10/15/2018,6,3,9,WS9
10/15/2018,7,3,17,WS9
10/15/2018,8,1,9,WS9
10/15/2018,9,,4,WS9
10/15/2018,10,2,3,WS9
10/22/2018,1,2,7,WS9
10/22/2018,2,3,3,WS9
10/22/2018,3,,1,WS9
10/22/2018,4,1,2,WS9
10/22/2018,5,2,1,WS9
10/22/2018,6,1,4,WS9
10/22/2018,7,3,4,WS9
10/22/2018,8,,1,WS9
10/22/2018,9,1,3,WS9
10/22/2018,10,2,2,WS9
10/29/2018,1,,1,WS9
10/29/2018,2,,1,WS9
10/29/2018,3,,2,WS9
10/29/2018,4,,1,WS9
10/29/2018,5,,1,WS9
10/29/2018,6,,1,WS9
10/29/2018,7,,0,WS9
10/29/2018,8,,1,WS9
10/29/2018,9,,1,WS9
10/29/2018,10,1,1,WS9
11/5/2018,1,2,1,WS9
11/5/2018,2,2,2,WS9
11/5/2018,3,,1,WS9
11/5/2018,4,2,4,WS9
11/5/2018,5,3,2,WS9
11/5/2018,6,,1,WS9
11/5/2018,7,2,,WS9
11/5/2018,8,2,2,WS9
11/5/2018,9,,1,WS9
11/5/2018,10,,2,WS9
11/12/2018,1,2,3,WS9
11/12/2018,2,3,4,WS9
11/12/2018,3,,2,WS9
11/12/2018,4,1,,WS9
11/12/2018,5,10,,WS9
11/12/2018,6,0,,WS9
11/12/2018,7,1,2,WS9
11/12/2018,8,3,1,WS9
11/12/2018,9,,1,WS9
11/12/2018,10,2,3,WS9
